date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC
2015-03-18,0,-7,10,200,Cloudy,0.0,95,3,1011,70,-6,-7,-10,17,-10

2015-03-18,1200,-1,11,196,Overcast,0.0,88,5,1010,84,-0,-2,-4,14,-4

2015-03-19,0,-3,11,184,Light freezing rain,0.0,93,6,1013,71,-3,-4,-7,18,-7

2015-03-19,1200,8,3,111,Cloudy,0.0,68,10,1030,75,9,3,9,5,9

2015-03-20,0,1,8,255,Mist,0.0,95,2,1024,19,1,-0,-2,16,-2

2015-03-20,1200,7,10,255,Sunny,0.0,82,10,1015,7,7,4,4,15,4

2015-03-21,0,-1,12,239,Partly cloudy,0.0,93,10,1010,32,-1,-2,-5,24,-5

2015-03-21,1200,4,12,291,Heavy snow,0.5,85,2,1006,100,4,2,1,15,1

2015-03-22,0,-1,11,1,Heavy snow,0.9,93,2,1008,100,-1,-2,-5,14,-5

2015-03-22,1200,-2,22,338,Light snow showers,0.1,59,10,1013,100,-2,-9,-9,25,-9

2015-03-23,0,-6,11,337,Patchy light snow,0.0,81,10,1020,30,-6,-9,-11,14,-11

2015-03-23,1200,-0,15,235,Sunny,0.0,38,10,1019,15,-0,-13,-5,18,-5

2015-03-24,0,-3,20,230,Blizzard,0.4,77,0,1010,100,-3,-6,-10,28,-10

2015-03-24,1200,5,19,256,Sunny,0.0,62,10,1006,13,5,-2,-1,29,-1

2015-03-25,0,-0,11,252,Clear,0.0,95,10,1011,25,-0,-1,-5,22,-5

2015-03-25,1200,5,6,353,Overcast,0.0,86,10,1017,100,5,3,3,10,3

2015-03-26,0,-0,16,81,Heavy snow,0.6,92,2,1024,100,-0,-1,-5,23,-5

2015-03-26,1200,2,18,83,Heavy snow,0.7,80,2,1029,100,2,-1,-3,24,-3

2015-03-27,0,-2,15,105,Cloudy,0.0,84,10,1031,66,-2,-5,-8,21,-8

2015-03-27,1200,4,19,118,Sunny,0.0,44,10,1032,17,4,-7,-1,24,-1

2015-03-28,0,-2,21,143,Cloudy,0.0,79,10,1034,87,-2,-5,-9,32,-9

2015-03-28,1200,3,22,145,Sunny,0.0,43,10,1032,25,3,-8,-2,29,-2

2015-03-29,0,-4,18,150,Partly cloudy,0.0,73,10,1031,25,-4,-8,-11,29,-11

2015-03-29,1200,2,24,142,Partly cloudy,0.0,40,10,1025,50,2,-10,-4,33,-4

2015-03-30,0,-2,22,159,Blizzard,0.5,72,0,1019,100,-2,-7,-10,33,-10

2015-03-30,1200,1,27,157,Blizzard,0.1,69,0,1013,100,1,-4,-6,36,-6

2015-03-31,0,-1,25,166,Blizzard,0.7,86,0,1011,100,-1,-3,-7,38,-7

2015-03-31,1200,1,30,157,Blizzard,0.7,82,0,1010,100,1,-2,-6,39,-6

2015-04-01,0,-1,22,148,Blizzard,2.3,94,0,1004,100,-1,-2,-7,32,-7

2015-04-01,1200,2,24,143,Heavy snow,0.6,93,2,1003,100,2,1,-4,33,-4

2015-04-02,0,0,20,143,Heavy snow,1.4,95,2,1000,100,0,-0,-5,31,-5

2015-04-02,1200,4,14,167,Overcast,0.1,89,10,1003,100,4,2,0,20,0

2015-04-03,0,1,9,112,Fog,0.0,99,0,1007,100,1,1,-2,15,-2

2015-04-03,1200,1,15,102,Heavy snow,4.6,98,2,1005,100,1,1,-4,21,-4

2015-04-04,0,-0,9,119,Heavy snow,2.2,98,2,1005,100,-0,-0,-4,14,-4

2015-04-04,1200,4,10,122,Overcast,0.0,95,10,1011,100,4,3,0,13,0

2015-04-05,0,1,11,120,Overcast,0.0,96,10,1015,100,1,0,-4,16,-4

2015-04-05,1200,3,12,70,Moderate snow,0.2,87,5,1015,100,3,1,-1,16,-1

2015-04-06,0,-0,6,21,Freezing fog,0.0,98,0,1016,100,-0,-1,-3,9,-3

2015-04-06,1200,4,15,301,Light sleet showers,0.4,84,10,1017,100,4,2,1,20,1

2015-04-07,0,-1,9,299,Patchy moderate snow,0.1,98,7,1020,72,-1,-1,-5,16,-5

2015-04-07,1200,6,11,289,Partly cloudy,0.0,75,10,1019,26,6,2,4,13,4

2015-04-08,0,4,4,232,Clear,0.0,92,10,1016,0,4,3,4,5,4

2015-04-08,1200,9,9,230,Partly cloudy,0.0,66,10,1011,48,9,3,6,12,6

2015-04-09,0,1,18,342,Heavy snow,2.5,92,2,1004,100,1,0,-4,28,-4

2015-04-09,1200,5,23,323,Light sleet showers,0.4,75,10,1009,100,5,1,-0,29,-0

2015-04-10,0,1,13,247,Light rain shower,0.6,95,10,1011,100,1,1,-3,24,-3

2015-04-10,1200,9,22,311,Light rain shower,0.5,59,10,1009,55,9,1,5,29,5

2015-04-11,0,3,12,236,Overcast,0.0,89,10,1011,90,3,1,-1,26,-1

2015-04-11,1200,11,23,306,Sunny,0.0,53,10,1013,0,11,2,8,29,8

2015-04-12,0,3,3,160,Clear,0.0,87,10,1021,19,3,1,2,7,2

2015-04-12,1200,17,13,217,Sunny,0.0,43,10,1017,6,17,4,17,15,17

2015-04-13,0,8,8,151,Light rain shower,0.8,84,10,1015,91,8,5,4,13,4

2015-04-13,1200,9,11,192,Cloudy,0.0,66,8,1014,55,10,3,8,15,8

2015-04-14,0,2,9,158,Cloudy,0.0,87,6,1013,69,3,1,1,15,1

2015-04-14,1200,8,9,179,Cloudy,0.0,70,9,1012,73,9,3,8,11,8

2015-04-15,0,2,7,236,Cloudy,0.0,88,7,1015,53,3,1,1,12,1

2015-04-15,1200,10,9,217,Cloudy,0.0,64,9,1016,53,10,3,9,11,9

2015-04-16,0,-1,7,219,Mist,0.0,95,2,1001,41,-1,-1,-3,13,-3

2015-04-16,1200,7,22,231,Moderate or heavy rain with thunder,6.9,89,6,988,100,7,6,4,34,4

2015-04-17,0,2,14,275,Overcast,0.0,94,10,998,89,2,1,-1,22,-1

2015-04-17,1200,7,13,297,Light rain,1.3,69,9,1003,100,7,2,4,15,4

2015-04-18,0,1,8,285,Patchy sleet possible,1.0,94,9,1006,24,1,0,-2,15,-2

2015-04-18,1200,7,16,332,Light rain shower,0.3,66,10,1005,100,7,1,4,19,4

2015-04-19,0,-0,9,357,Partly cloudy,0.0,84,10,1006,62,-0,-3,-3,11,-3

2015-04-19,1200,3,15,350,Overcast,0.0,52,10,1002,100,3,-6,-1,18,-1

